ASTRID MADRIGAL:10
ANA CARRASCO:9
SONYA LLOYD:9
MALLORY DOBBS:8
BEATRICE BARBERA:8
BILLE FULLER:7
PAKITA RUIZ:7
ROBERTA PONZIANI:7
BEATRIZ NEILA:6
AVALON LEWIS:6
CHLOE JONES:6
DENISE DAL ZOTTO:5
LUCIE BOUDESSEUL:5
LUNA HIRANO:5
ANDREA SIBAJA:4
RAFAELA PEIXOTO:4
CHUN MEI LIU:4
IRENE BRAMATO:4
JESSICA HOWDEN:4
ISIS CARRENO:3
IRYNA NADIEDIEVA:3
ADELA OUREDNICKOVA:3
MADALENA SIMOES:3
ORNELLA ONGARO:2
NATALIA RIVERA:2
JAMIE HANKS-ELLIOT:2
SARA SANCHEZ:2
EMILY BONDI:1
MARIA HERRERA:1
LUCY MICHEL:1
SARA VARON:1
TAYLA RELPH:0
