BEATRIZ NEILA:2
ASTRID MADRIGAL:2
BEATRICE BARBERA:2
SARA VARON:0
LUNA HIRANO:1
ANDREA SIBAJA:2
CHLOE JONES:2
RAFAELA PEIXOTO:1
CHUN MEI LIU:1
SARA SANCHEZ:1
AVALON LEWIS:1
MARIA HERRERA:0
ANA CARRASCO:0
ROBERTA PONZIANI:0
PAKITA RUIZ:0
NATALIA RIVERA:0
TAYLA RELPH:0
ORNELLA ONGARO:0
LUCY MICHEL:0
ADELA OUREDNICKOVA:0
ISIS CARRENO:0
BILLE FULLER:0
LUCIE BOUDESSEUL:0
EMILY BONDI:0
JESSICA HOWDEN:0
MALLORY DOBBS:0
DENISE DAL ZOTTO:0
MADALENA SIMOES:0
IRYNA NADIEDIEVA:0
IRENE BRAMATO:0
SONYA LLOYD:0
JAMIE HANKS-ELLIOT:0
